Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2023;Gratosoglio - Ticinello;Maschi;108;108;108
2023;Greco;Femmine;70;70;70
2023;Greco;Maschi;71;71;71
2023;Guastalla;Femmine;70;70;70
2023;Guastalla;Maschi;69;70;70
2023;Isola;Femmine;103;101;101
2023;Isola;Maschi;89;89;89
2023;Lambrate;Femmine;51;51;51
2023;Lambrate;Maschi;33;33;33
2023;Lodi - Corvetto;Femmine;213;212;211
2023;Lodi - Corvetto;Maschi;175;175;175
2023;Lorenteggio;Femmine;89;88;88
2023;Lorenteggio;Maschi;75;75;75
2023;Loreto;Femmine;205;203;202
2023;Loreto;Maschi;183;183;182
2023;Maciachini - Maggiolina;Femmine;153;153;153
2023;Maciachini - Maggiolina;Maschi;119;119;119
2023;Magenta - S. Vittore;Femmine;83;83;83
2023;Magenta - S. Vittore;Maschi;78;78;78
2023;Maggiore - Musocco;Femmine;20;20;20
2023;Maggiore - Musocco;Maschi;26;24;24
2023;Mecenate;Femmine;143;143;143
2023;Mecenate;Maschi;121;121;121
2023;Navigli;Femmine;73;73;73
2023;Navigli;Maschi;56;56;56
2023;Niguarda - Cà Granda;Femmine;232;232;232
2023;Niguarda - Cà Granda;Maschi;198;197;197
2023;Ortomercato;Femmine;19;20;20
2023;Ortomercato;Maschi;12;12;12
2023;Padova;Femmine;196;193;190
2023;Padova;Maschi;166;165;165
2023;Pagano;Femmine;84;84;84
2023;Pagano;Maschi;73;73;73
2023;Parco Lambro - Cimiano;Femmine;139;139;139
2023;Parco Lambro - Cimiano;Maschi;110;110;110
2023;Parco Monlué - Ponte Lambro;Femmine;6;6;6
2023;Parco Monlué - Ponte Lambro;Maschi;4;3;3
2023;Porta Romana;Femmine;68;68;68
2023;Porta Romana;Maschi;63;63;63
2023;Portello;Femmine;45;45;45
2023;Portello;Maschi;36;36;36
2023;QT 8;Femmine;24;23;23
2023;QT 8;Maschi;18;18;18
2023;Quarto Cagnino;Femmine;37;37;37
2023;Quarto Cagnino;Maschi;45;44;44
2023;Quarto Oggiaro;Femmine;182;182;182
2023;Quarto Oggiaro;Maschi;151;150;150
2023;Quinto Romano;Femmine;18;18;18
2023;Quinto Romano;Maschi;15;15;15
2023;Ripamonti;Femmine;50;50;50
2023;Ripamonti;Maschi;61;60;60
2023;Rogoredo;Femmine;26;26;26
2023;Rogoredo;Maschi;16;16;16
2023;Ronchetto S/N;Femmine;70;70;70
2023;Ronchetto S/N;Maschi;76;76;76
2023;S. Cristoforo;Femmine;63;63;63
2023;S. Cristoforo;Maschi;60;60;60
2023;S. Siro;Femmine;50;50;50
2023;S. Siro;Maschi;55;54;54
2023;Sarpi;Femmine;155;155;154
2023;Sarpi;Maschi;116;116;116
2023;Scalo Romana;Femmine;28;28;28
2023;Scalo Romana;Maschi;36;37;37
2023;Selinunte;Femmine;149;148;148
2023;Selinunte;Maschi;104;104;104
2023;Stadera;Femmine;180;180;180
2023;Stadera;Maschi;145;145;144
2023;Tibaldi;Femmine;65;65;65
2023;Tibaldi;Maschi;59;58;58
2023;Ticinese;Femmine;85;85;85
2023;Ticinese;Maschi;81;80;80
2023;Tortona;Femmine;74;74;74
2023;Tortona;Maschi;70;70;70
2023;Trenno;Femmine;13;13;13
2023;Trenno;Maschi;16;16;16
2023;Umbria - Molise;Femmine;116;116;116
2023;Umbria - Molise;Maschi;94;94;94
2023;Vigentina;Femmine;73;73;73
2023;Vigentina;Maschi;65;65;65
2023;Villapizzone;Femmine;219;219;218
2023;Villapizzone;Maschi;181;176;175
2023;Vle Monza;Femmine;143;143;143
2023;Vle Monza;Maschi;141;141;141
2023;Washington;Femmine;151;150;150
2023;Washington;Maschi;118;118;118
2023;XXII Marzo;Femmine;170;170;170
2023;XXII Marzo;Maschi;136;135;135
2023;Quartieri residuali;Femmine;24;23;23
2023;Quartieri residuali;Maschi;11;11;11
2024;Adriano;Femmine;36;36;36
2024;Adriano;Maschi;50;50;50
2024;Affori;Femmine;111;110;110
2024;Affori;Maschi;102;102;101
2024;Baggio;Femmine;181;180;180
2024;Baggio;Maschi;157;157;157
2024;Bande Nere;Femmine;283;283;283
2024;Bande Nere;Maschi;220;220;220
2024;Barona;Femmine;124;124;124
2024;Barona;Maschi;100;100;100
2024;Bicocca;Femmine;18;18;18
2024;Bicocca;Maschi;16;16;16
2024;Bovisa;Femmine;51;51;51
2024;Bovisa;Maschi;49;49;49
2024;Bovisasca;Femmine;45;45;45
2024;Bovisasca;Maschi;37;37;37
2024;Brera;Femmine;83;83;83
2024;Brera;Maschi;76;76;76
2024;Bruzzano;Femmine;38;39;39
2024;Bruzzano;Maschi;52;52;52
2024;Buenos Aires - Venezia;Femmine;336;336;336
2024;Buenos Aires - Venezia;Maschi;301;302;301
2024;Centrale;Femmine;80;78;78
2024;Centrale;Maschi;72;71;71
2024;Città Studi;Femmine;212;212;211
2024;Città Studi;Maschi;167;167;167
2024;Comasina;Femmine;47;47;47
2024;Comasina;Maschi;33;33;33
2024;Corsica;Femmine;110;110;110
2024;Corsica;Maschi;88;88;88
2024;De Angeli - Monte Rosa;Femmine;114;114;114
2024;De Angeli - Monte Rosa;Maschi;87;86;86
2024;Dergano;Femmine;94;94;94
2024;Dergano;Maschi;92;92;92
2024;Duomo;Femmine;75;75;75
2024;Duomo;Maschi;69;69;69
2024;Ex OM - Morivione;Femmine;57;57;57
2024;Ex OM - Morivione;Maschi;25;25;25
2024;Farini;Femmine;6;6;6
2024;Farini;Maschi;6;6;6
2024;Forze Armate;Femmine;149;149;149
2024;Forze Armate;Maschi;128;128;128
2024;Gallaratese;Femmine;253;253;253
2024;Gallaratese;Maschi;219;219;219
2024;Garibaldi Repubblica;Femmine;27;27;27
2024;Garibaldi Repubblica;Maschi;14;14;14
2024;Ghisolfa;Femmine;82;82;82
2024;Ghisolfa;Maschi;72;72;72
2024;Giambellino;Femmine;160;160;160
2024;Giambellino;Maschi;124;124;123
2024;Gratosoglio - Ticinello;Femmine;97;97;97
2024;Gratosoglio - Ticinello;Maschi;110;111;111
2024;Greco;Femmine;69;69;69
2024;Greco;Maschi;71;71;71
2024;Guastalla;Femmine;69;68;68
2024;Guastalla;Maschi;67;67;67
2024;Isola;Femmine;100;99;99
2024;Isola;Maschi;86;85;85
2024;Lambrate;Femmine;50;50;50
2024;Lambrate;Maschi;33;33;33
2024;Lodi - Corvetto;Femmine;207;205;205
2024;Lodi - Corvetto;Maschi;172;172;172
2024;Lorenteggio;Femmine;90;90;90
2024;Lorenteggio;Maschi;73;73;73
2024;Loreto;Femmine;198;197;195
2024;Loreto;Maschi;185;183;183
2024;Maciachini - Maggiolina;Femmine;149;149;149
2024;Maciachini - Maggiolina;Maschi;121;121;121
2024;Magenta - S. Vittore;Femmine;84;84;84
2024;Magenta - S. Vittore;Maschi;75;75;75
2024;Maggiore - Musocco;Femmine;19;18;18
2024;Maggiore - Musocco;Maschi;26;26;26
2024;Mecenate;Femmine;142;143;143
2024;Mecenate;Maschi;118;118;118
2024;Navigli;Femmine;71;72;72
2024;Navigli;Maschi;54;53;53
2024;Niguarda - Cà Granda;Femmine;230;230;230
2024;Niguarda - Cà Granda;Maschi;191;191;191
2024;Ortomercato;Femmine;18;18;18
2024;Ortomercato;Maschi;12;12;12
2024;Padova;Femmine;196;191;189
2024;Padova;Maschi;162;160;160
2024;Pagano;Femmine;88;87;87
2024;Pagano;Maschi;72;72;72
2024;Parco Lambro - Cimiano;Femmine;136;137;137
2024;Parco Lambro - Cimiano;Maschi;105;105;105
2024;Parco Monlué - Ponte Lambro;Femmine;5;5;5
2024;Parco Monlué - Ponte Lambro;Maschi;3;3;3
2024;Porta Romana;Femmine;67;66;66
2024;Porta Romana;Maschi;63;63;63
2024;Portello;Femmine;45;44;44
2024;Portello;Maschi;39;39;39
2024;QT 8;Femmine;25;25;25
2024;QT 8;Maschi;18;18;18
2024;Quarto Cagnino;Femmine;39;39;39
2024;Quarto Cagnino;Maschi;45;45;45
2024;Quarto Oggiaro;Femmine;180;181;181
2024;Quarto Oggiaro;Maschi;149;148;148
2024;Quinto Romano;Femmine;19;19;19
2024;Quinto Romano;Maschi;15;15;15
2024;Ripamonti;Femmine;46;46;46
2024;Ripamonti;Maschi;60;58;58
2024;Rogoredo;Femmine;24;24;24
2024;Rogoredo;Maschi;17;16;16
2024;Ronchetto S/N;Femmine;68;66;66
2024;Ronchetto S/N;Maschi;73;73;73
2024;S. Cristoforo;Femmine;65;65;65
2024;S. Cristoforo;Maschi;60;60;60
2024;S. Siro;Femmine;49;49;49
2024;S. Siro;Maschi;56;56;56
2024;Sarpi;Femmine;150;150;149
2024;Sarpi;Maschi;115;113;113
2024;Scalo Romana;Femmine;27;28;28
2024;Scalo Romana;Maschi;37;37;37
2024;Selinunte;Femmine;143;142;142
2024;Selinunte;Maschi;105;104;104
2024;Stadera;Femmine;178;178;178
2024;Stadera;Maschi;142;142;141
2024;Tibaldi;Femmine;66;65;65
2024;Tibaldi;Maschi;61;61;61
2024;Ticinese;Femmine;84;83;83
2024;Ticinese;Maschi;75;75;75
2024;Tortona;Femmine;73;73;73
2024;Tortona;Maschi;70;70;70
2024;Trenno;Femmine;12;12;12
2024;Trenno;Maschi;17;17;17
