"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Estonia";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;2,00;3,00;3,00;6,00;7,00;8,00;14,00;12,00;21,00;30,00;31,00;35,00;37,00;40,00;45,00;47,00;54,00;59,00;61,00
"Etiopia";567,00;731,00;1106,00;1320,00;1448,00;1596,00;1676,00;1699,00;1796,00;1888,00;1926,00;1982,00;1101,00;2164,00;2233,00;2257,00;2034,00;1939,00;1769,00;1743,00;1471,00;1299,00;1229,00;1109,00;544,00;590,00;615,00;617,00;665,00;661,00;713,00;747,00;727,00;750,00;724,00;632,00
"Filippine";16,00;25,00;125,00;203,00;284,00;434,00;519,00;589,00;985,00;1317,00;1551,00;2086,00;2474,00;4524,00;5388,00;5907,00;6505,00;7550,00;10715,00;14967,00;16472,00;18685,00;20456,00;21213,00;19725,00;24081,00;26645,00;27586,00;28031,00;28749,00;31123,00;33745,00;37002,00;39858,00;40759,00;41237,00
"Finlandia";21,00;18,00;22,00;29,00;31,00;31,00;36,00;36,00;42,00;47,00;52,00;64,00;72,00;0,00;62,00;66,00;82,00;89,00;99,00;113,00;115,00;124,00;153,00;147,00;93,00;97,00;111,00;114,00;115,00;119,00;124,00;124,00;126,00;133,00;126,00;99,00
"Francia";646,00;663,00;684,00;696,00;1685,00;1673,00;1667,00;1676,00;2098,00;2195,00;2284,00;2353,00;1419,00;2563,00;2725,00;2919,00;3136,00;3179,00;3350,00;3776,00;3905,00;4156,00;4554,00;4527,00;2518,00;2625,00;3059,00;3223,00;3332,00;3485,00;3763,00;3868,00;4031,00;4238,00;3847,00;2925,00
"Gabon";0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;2,00;2,00;3,00;1,00;0,00;3,00;3,00;2,00;2,00;2,00;3,00;4,00;4,00;4,00;4,00;1,00;3,00;3,00;4,00;4,00;5,00;3,00;4,00;4,00;5,00;4,00;4,00
"Gambia";4,00;4,00;5,00;5,00;6,00;8,00;4,00;3,00;3,00;3,00;3,00;2,00;7,00;0,00;9,00;9,00;11,00;14,00;26,00;63,00;75,00;121,00;133,00;121,00;62,00;78,00;88,00;94,00;99,00;106,00;116,00;132,00;132,00;149,00;157,00;171,00
"Georgia";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;1,00;3,00;8,00;10,00;13,00;20,00;17,00;20,00;40,00;46,00;48,00;52,00;89,00;143,00;187,00;263,00;334,00;419,00
"Germania";1292,00;1284,00;1281,00;1264,00;2232,00;2176,00;2097,00;2071,00;2151,00;2164,00;2210,00;2228,00;1278,00;2229,00;2210,00;2241,00;2259,00;2255,00;2332,00;2533,00;2524,00;2553,00;2672,00;2529,00;1611,00;1702,00;1831,00;1903,00;1932,00;1955,00;2042,00;2057,00;2109,00;2120,00;1939,00;1541,00
"Ghana";12,00;13,00;14,00;16,00;17,00;16,00;16,00;13,00;13,00;17,00;16,00;24,00;21,00;0,00;102,00;107,00;101,00;107,00;111,00;126,00;131,00;133,00;145,00;136,00;106,00;114,00;125,00;113,00;115,00;96,00;121,00;132,00;132,00;177,00;166,00;153,00
"Giamaica";5,00;5,00;6,00;5,00;9,00;9,00;9,00;10,00;5,00;6,00;5,00;6,00;7,00;0,00;8,00;8,00;9,00;10,00;12,00;13,00;14,00;14,00;14,00;15,00;9,00;10,00;14,00;12,00;13,00;12,00;16,00;15,00;15,00;14,00;18,00;13,00
